;;;;;;COLOMBIA. GINIS MUNICIPALES.  2000-2009.;;;;;;;
;;;;;; Catastro Jurisdicción IGAC.;;;;;;;
;;;;;;Fuente: Atlas de la distribución de la Propiedad Rural en Colombia. CEDE) UNINADES)-IGAC-Universidad de Antioquia. ;;;;;;;
;;;;;;;;;;;;;
CODIGO PROBLEM;CMPIOT;DEP AND MUN NO SPACE BTW WORD;Dep and mun no space;DEP NO SPACE;Mun no space;DEPARTAMENTO;MUNICIPIO;AÑO;GINI;AVALÚO;TIERRAS CALIDAD;PROPIETARIOS SIN REPETICION;PROPIETARIOS CON REPETICIÓN
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2009;0.644;0.628;0.644;0.637;0.640
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2000;0.513;0.632;0.513;0.524;0.530
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2001;0.435;0.460;0.435;0.473;0.503
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2002;0.421;0.462;0.421;0.479;0.504
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2003;0.421;0.464;0.421;0.475;0.504
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2004;0.426;0.471;0.426;0.480;0.507
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2005;0.426;0.470;0.426;0.476;0.505
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2006;0.428;0.472;0.428;0.478;0.508
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2007;0.432;0.479;0.432;0.480;0.506
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2008;0.435;0.480;0.435;0.486;0.512
;81736;ARAUCASARAVENA;ARAUCASARAVENA;ARAUCA;SARAVENA;ARAUCA            ;SARAVENA                    ;2009;0.434;0.481;0.434;0.490;0.519
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2000;0.903;0.653;0.903;0.877;0.884
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2001;0.896;0.652;0.896;0.866;0.873
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2002;0.891;0.651;0.891;0.858;0.866
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2003;0.890;0.652;0.890;0.854;0.864
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2004;0.889;0.654;0.889;0.851;0.861
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2005;0.889;0.660;0.889;0.851;0.860
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2006;0.888;0.712;0.888;0.849;0.859
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2007;0.885;0.707;0.885;0.931;0.942
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2008;0.882;0.708;0.882;0.929;0.941
;81794;ARAUCATAME;ARAUCATAME;ARAUCA;TAME;ARAUCA            ;TAME                        ;2009;0.880;0.707;0.880;0.926;0.939
;08078;ATLANTICOBARANOA;ATLANTICOBARANOA;ATLANTICO;BARANOA;ATLANTICO         ;BARANOA                     ;2000;0.675;0.673;0.675;0.707;0.766
;08078;ATLANTICOBARANOA;ATLANTICOBARANOA;ATLANTICO;BARANOA;ATLANTICO         ;BARANOA                     ;2001;0.674;0.672;0.674;0.705;0.763
;08078;ATLANTICOBARANOA;ATLANTICOBARANOA;ATLANTICO;BARANOA;ATLANTICO         ;BARANOA                     ;2002;0.683;0.677;0.683;0.705;0.758
